"sender","receiver","ligand","receptor","score"
"Myeloid","Plasmablasts","HLA-DRA","CD82",9.13743570477177
"Myeloid","PVL","HLA-DRA","CD63",1009.36762178351
"Myeloid","PVL","HLA-DRA","CD81",254.853152991538
"Myeloid","PVL","HLA-DRA","CD9",240.989139420452
"Myeloid","PVL","HLA-DRB1","CD81",153.444168095782
"Myeloid","PVL","SPP1","ITGB1",115.654134864878
"Myeloid","PVL","APOE","APP",98.9095918199771
"Myeloid","PVL","LGALS1","ITGB1",92.5171152491231
"Myeloid","PVL","B2M","TAP1",92.1883349710087
"Myeloid","PVL","TIMP1","CD63",84.5525457326872
"Myeloid","PVL","HLA-DRA","CD82",38.6630584668033
"Myeloid","PVL","CTSD","APP",36.9202120922233
"Myeloid","PVL","NAMPT","ITGB1",36.6384891785411
"Myeloid","PVL","SPP1","CD44",35.4686743595443
"Myeloid","PVL","LGALS3","MCAM",33.5819435419228
"Myeloid","PVL","FN1","ITGB1",33.5811968278002
"Myeloid","PVL","CXCL8","SDC2",33.1581501273131
"Myeloid","PVL","HLA-A","APLP2",32.9066556165393
"Myeloid","PVL","B2M","TAP2",30.2031070880101
"Myeloid","PVL","ITGB2","THY1",28.0909522973144
"Myeloid","PVL","CALM2","MYLK",27.6048276421137
"Myeloid","T-cells","HLA-DRA","CD37",382.417877961281
"Myeloid","T-cells","B2M","KLRD1",279.854555476388
"Myeloid","T-cells","B2M","TAP1",253.589382937048
"Myeloid","T-cells","HLA-DRB1","CD37",230.249429759542
"Myeloid","T-cells","HLA-DRA","CD53",229.449676124096
"Myeloid","T-cells","LGALS1","CD69",206.735223182655
"Myeloid","T-cells","HLA-DRA","CD63",155.979351146056
"Myeloid","T-cells","B2M","KLRC1",141.22952098739
"Myeloid","T-cells","HLA-DRB1","CD53",138.14902526977
"Myeloid","T-cells","HLA-DRA","CD82",129.372217934882
"Myeloid","T-cells","HLA-DMA","CD74",128.802647438324
"Myeloid","T-cells","HLA-B","CD8A",125.143892016879
"Myeloid","T-cells","LGALS1","PTPRC",124.573063097548
"Myeloid","T-cells","HMGB1","CXCR4",112.51730376081
"Myeloid","T-cells","S100A8","CD69",111.203975888604
"Myeloid","T-cells","HLA-DRA","LAG3",94.9178689124603
"Myeloid","T-cells","MIF","CXCR4",92.0177060386448
"Myeloid","T-cells","SPP1","CD44",85.9283401590518
"Myeloid","T-cells","HLA-A","CD8A",77.9585339181989
"Myeloid","T-cells","HLA-DRB1","CD82",77.893532501767
"Normal Epithelial","B-cells","MIF","CD74",1539.00128026182
"Normal Epithelial","B-cells","APP","CD74",691.244897540127
"Normal Epithelial","B-cells","MIF","CXCR4",180.269542151555
"Normal Epithelial","B-cells","HMGB1","CXCR4",126.004860368301
"Normal Epithelial","B-cells","CXCL14","CXCR4",116.693278346
"Normal Epithelial","B-cells","COPA","CD74",71.837722157749
"Normal Epithelial","B-cells","HLA-DMA","CD74",69.3273745655709
"Normal Epithelial","B-cells","B2M","TAP1",48.0161707741022
"Normal Epithelial","B-cells","LGALS1","CD69",45.465825199851
"Normal Epithelial","B-cells","HLA-DRA","CD37",33.1720021730633
"Normal Epithelial","B-cells","HLA-DRB1","CD37",26.4529204031049
"Normal Epithelial","B-cells","MIF","CD44",24.6974784740744
"Normal Epithelial","B-cells","ZG16B","CXCR4",17.5311563395979
"Normal Epithelial","B-cells","CD82","CD37",17.1294146463172
"Normal Epithelial","B-cells","MMP7","CD44",14.3779087162397
"Normal Epithelial","B-cells","B2M","LILRB1",12.4090674774818
"Normal Epithelial","B-cells","LGALS1","PTPRC",12.1201160998128
"Normal Epithelial","B-cells","LAMB2","RPSA",8.47865182560865
"Normal Epithelial","B-cells","HLA-DMB","CD74",8.40221687428473
"Normal Epithelial","B-cells","HLA-DRA","CD53",7.16003489173382
"Normal Epithelial","CAFs","TIMP1","CD63",61.110244018515
"Normal Epithelial","CAFs","LGALS3","ANXA2",50.7003140935749
"Normal Epithelial","CAFs","LTF","LRP1",41.4528748115391
"Normal Epithelial","CAFs","MIF","CD74",35.0198245693547
"Normal Epithelial","CAFs","HLA-DRA","CD63",34.9893069381519
"Normal Epithelial","CAFs","TIMP1","MMP2",31.3274740981854
"Normal Epithelial","CAFs","B2M","TAP1",23.198958075165
"Normal Epithelial","CAFs","AZGP1","ITGAV",19.2399408976665
"Normal Epithelial","CAFs","HSP90B1","LRP1",18.4303930184059
"Normal Epithelial","CAFs","APP","LRP1",18.2058552665898
"Normal Epithelial","CAFs","MDK","ITGB1",17.8906674693698
"Normal Epithelial","CAFs","LGALS1","ITGB1",15.7437565890351
"Normal Epithelial","CAFs","APP","CD74",15.7292104670625
"Normal Epithelial","CAFs","CALR","LRP1",15.0846060049151
"Normal Epithelial","CAFs","MDK","LRP1",15.0177208797879
"Normal Epithelial","CAFs","MIF","CD44",14.6923679741663
"Normal Epithelial","CAFs","SERPING1","C1R",13.5617023743903
"Normal Epithelial","CAFs","IFITM1","CD81",12.9152136284719
"Normal Epithelial","CAFs","TIMP3","MMP2",12.6189162030347
"Normal Epithelial","CAFs","APOE","LRP1",12.5871307042646
"Normal Epithelial","Cancer Epithelial","LGALS3","ANXA2",43.4219533966703
"Normal Epithelial","Cancer Epithelial","MIF","CD74",37.3285539681156
"Normal Epithelial","Cancer Epithelial","B2M","TAP1",22.7453414630581
"Normal Epithelial","Cancer Epithelial","MIF","CD44",17.7641620365754
"Normal Epithelial","Cancer Epithelial","APP","CD74",16.7661799856472
"Normal Epithelial","Cancer Epithelial","TIMP1","CD63",16.0220840818091
"Normal Epithelial","Cancer Epithelial","HLA-A","APLP2",15.1056707083087
"Normal Epithelial","Cancer Epithelial","MMP7","CD151",15.0783022395598
"Normal Epithelial","Cancer Epithelial","HLA-DRA","CD9",12.7483385949728
"Normal Epithelial","Cancer Epithelial","HLA-A","ERBB2",11.3082900574916
"Normal Epithelial","Cancer Epithelial","PTN","SDC4",10.6098508698218
"Normal Epithelial","Cancer Epithelial","MMP7","CD44",10.3416022996228
"Normal Epithelial","Cancer Epithelial","AREG","ERBB2",9.26637003406747
"Normal Epithelial","Cancer Epithelial","HLA-DRA","CD63",9.17361117977941
"Normal Epithelial","Cancer Epithelial","AZGP1","ITGAV",6.55710177332568
"Normal Epithelial","Cancer Epithelial","APOE","APP",6.49543768511452
"Normal Epithelial","Cancer Epithelial","HMGB1","SDC1",6.24466845667909
"Normal Epithelial","Cancer Epithelial","PTN","SDC1",6.22250641861966
"Normal Epithelial","Cancer Epithelial","MDK","SDC4",5.6438345014975
"Normal Epithelial","Cancer Epithelial","EPCAM","CLDN7",5.55553759050016
"Normal Epithelial","Endothelial","MIF","CD74",749.608004115895
"Normal Epithelial","Endothelial","APP","CD74",336.687639345043
"Normal Epithelial","Endothelial","CXCL2","ACKR1",217.80148524813
"Normal Epithelial","Endothelial","CCL2","ACKR1",55.875148322732
"Normal Epithelial","Endothelial","LGALS3","ENG",52.9642685736106
"Normal Epithelial","Endothelial","LGALS3","ANXA2",49.4298367726296
"Normal Epithelial","Endothelial","CXCL3","ACKR1",48.9952371004609
"Normal Epithelial","Endothelial","B2M","TAP1",46.6287900890588
"Normal Epithelial","Endothelial","COPA","CD74",34.990309766176
"Normal Epithelial","Endothelial","HLA-DMA","CD74",33.767583916403
"Normal Epithelial","Endothelial","TIMP1","CD63",25.4370755168906
"Normal Epithelial","Endothelial","CD9","CD36",23.452886228128
"Normal Epithelial","Endothelial","CXCL1","ACKR1",22.8890496702902
"Normal Epithelial","Endothelial","MMP7","CD151",21.4269905667091
"Normal Epithelial","Endothelial","SAA1","CD36",20.7869457506183
"Normal Epithelial","Endothelial","HLA-A","APLP2",20.2451249124339
"Normal Epithelial","Endothelial","HMGB1","THBD",17.6487429951475
"Normal Epithelial","Endothelial","APOE","APP",16.7050051859668
"Normal Epithelial","Endothelial","PTN","PTPRB",14.9982684141553
"Normal Epithelial","Endothelial","B2M","TAP2",14.8500354748367
"Normal Epithelial","Myeloid","MIF","CD74",1917.90085574397
"Normal Epithelial","Myeloid","APP","CD74",861.428250595948
"Normal Epithelial","Myeloid","RPS19","C5AR1",153.603277209113
"Normal Epithelial","Myeloid","COPA","CD74",89.524050803652
"Normal Epithelial","Myeloid","HLA-DMA","CD74",86.3956597769505
"Normal Epithelial","Myeloid","B2M","TAP1",46.2923455068191
"Normal Epithelial","Myeloid","MIF","CXCR4",41.2063604361206
"Normal Epithelial","Myeloid","LGALS3","ANXA2",41.0823756217026
"Normal Epithelial","Myeloid","MIF","CD44",35.1244072120077
"Normal Epithelial","Myeloid","TIMP1","CD63",33.417701867854
"Normal Epithelial","Myeloid","B2M","LILRB1",33.265923418918
"Normal Epithelial","Myeloid","HMGB1","CXCR4",28.8024345714159
"Normal Epithelial","Myeloid","PIP","CD4",28.1223965239918
"Normal Epithelial","Myeloid","CXCL14","CXCR4",26.673975151916
"Normal Epithelial","Myeloid","HLA-A","APLP2",23.8368821636493
"Normal Epithelial","Myeloid","CLU","TREM2",22.1869837454831
"Normal Epithelial","Myeloid","MMP7","CD44",20.4480599562585
"Normal Epithelial","Myeloid","HLA-DRA","CD63",19.1336533931649
"Normal Epithelial","Myeloid","HLA-B","LILRB2",17.9163269951311
"Normal Epithelial","Myeloid","S100A9","CD68",17.5510366672337
"Normal Epithelial","Plasmablasts","MIF","CD74",183.177430898466
"Normal Epithelial","Plasmablasts","APP","CD74",82.274437375083
"Normal Epithelial","Plasmablasts","B2M","TAP1",24.5250535447255
"Normal Epithelial","Plasmablasts","MIF","CXCR4",10.7893672331797
"Normal Epithelial","Plasmablasts","COPA","CD74",8.55038235199882
"Normal Epithelial","Plasmablasts","HLA-DMA","CD74",8.2515918126439
"Normal Epithelial","Plasmablasts","HMGB1","SDC1",7.85630166584625
"Normal Epithelial","Plasmablasts","PTN","SDC1",7.82842001644683
"Normal Epithelial","Plasmablasts","MIF","CD44",7.80375137127696
"Normal Epithelial","Plasmablasts","HMGB1","CXCR4",7.54155524806391
"Normal Epithelial","Plasmablasts","CXCL14","CXCR4",6.98424491842424
"Normal Epithelial","Plasmablasts","TIMP1","CD63",6.56607063850507
"Normal Epithelial","Plasmablasts","MMP7","SDC1",6.54329221589388
"Normal Epithelial","Plasmablasts","MMP7","CD44",4.54303968634821
"Normal Epithelial","Plasmablasts","B2M","LILRB1",4.50044721256246
"Normal Epithelial","Plasmablasts","MDK","SDC1",4.16427219601235
"Normal Epithelial","Plasmablasts","LGALS3","ANXA2",4.09486185000495
"Normal Epithelial","Plasmablasts","HLA-DRA","CD63",3.75947215786987
"Normal Epithelial","Plasmablasts","LTF","BTN3A2",3.12829271669762
"Normal Epithelial","Plasmablasts","CALR","TAP1",2.45459949008125
"Normal Epithelial","PVL","TIMP1","CD63",39.9423957983036
"Normal Epithelial","PVL","CALM2","MYLK",38.9649164644273
"Normal Epithelial","PVL","SCGB3A1","NOTCH3",30.2113471586125
"Normal Epithelial","PVL","LGALS3","MCAM",28.5691002860622
"Normal Epithelial","PVL","MMP7","CD151",27.6833903437729
"Normal Epithelial","PVL","CALM1","MYLK",24.6050974843062
"Normal Epithelial","PVL","MIF","CD74",23.1449890958728
"Normal Epithelial","PVL","HLA-DRA","CD63",22.8694348857217
"Normal Epithelial","PVL","B2M","TAP1",22.3994927631245
"Normal Epithelial","PVL","MDK","ITGB1",22.231298544115
"Normal Epithelial","PVL","LGALS3","ANXA2",20.9995898778563
"Normal Epithelial","PVL","LGALS1","ITGB1",19.5635044659988
"Normal Epithelial","PVL","MIF","CD44",18.4019024340819
"Normal Epithelial","PVL","PTN","SDC2",15.7043147805964
"Normal Epithelial","PVL","AZGP1","ITGAV",13.2850943809253
"Normal Epithelial","PVL","IFITM1","CD81",12.7227105689794
"Normal Epithelial","PVL","CD9","CD36",12.299892222161
"Normal Epithelial","PVL","NAMPT","ITGB1",11.8700877220886
"Normal Epithelial","PVL","HLA-A","APLP2",11.8355427129081
"Normal Epithelial","PVL","MFGE8","PDGFRB",11.368332999301
"Normal Epithelial","T-cells","MIF","CXCR4",212.695622753812
"Normal Epithelial","T-cells","MIF","CD74",155.060466616865
"Normal Epithelial","T-cells","HMGB1","CXCR4",148.67005222386
"Normal Epithelial","T-cells","CXCL14","CXCR4",137.683544389989
"Normal Epithelial","T-cells","APP","CD74",69.645657696181
"Normal Epithelial","T-cells","B2M","KLRD1",67.9977579819846
"Normal Epithelial","T-cells","B2M","TAP1",61.615968546237
"Normal Epithelial","T-cells","HLA-B","CD8A",46.7212009011811
"Normal Epithelial","T-cells","MIF","CD44",44.581449983173
"Normal Epithelial","T-cells","LGALS1","CD69",43.7158622069279
"Normal Epithelial","T-cells","CD59","CD2",36.514487825406
"Normal Epithelial","T-cells","B2M","KLRC1",34.3152919975333
"Normal Epithelial","T-cells","HLA-A","CD8A",28.0393598418671
"Normal Epithelial","T-cells","LGALS1","PTPRC",26.3419981231542
"Normal Epithelial","T-cells","MMP7","CD44",25.9535814139298
"Normal Epithelial","T-cells","HLA-B","KLRD1",25.7761115760208
"Normal Epithelial","T-cells","ZG16B","CXCR4",20.6845824909811
"Normal Epithelial","T-cells","HLA-A","KLRD1",15.4693298516197
"Normal Epithelial","T-cells","HLA-E","CD8A",14.2213626559693
"Normal Epithelial","T-cells","LTF","BTN3A2",10.9505616735459
"Plasmablasts","B-cells","MIF","CD74",665.034198383606
"Plasmablasts","B-cells","B2M","TAP1",102.933936477324
"Plasmablasts","B-cells","HLA-DMA","CD74",82.9551077668954
"Plasmablasts","B-cells","MIF","CXCR4",77.8981876073187
"Plasmablasts","B-cells","HMGB1","CXCR4",53.4803171951638
"Plasmablasts","B-cells","COPA","CD74",38.8946540061172
"Plasmablasts","B-cells","LGALS1","CD69",28.9787302998476
"Plasmablasts","B-cells","B2M","LILRB1",26.6017498454679
"Plasmablasts","B-cells","HLA-DRB1","CD37",19.4426470996433
"Plasmablasts","B-cells","HLA-DRA","CD37",18.3642474793629
"Plasmablasts","B-cells","APP","CD74",16.1697432680935
"Plasmablasts","B-cells","B2M","TAP2",13.6337550097453
"Plasmablasts","B-cells","MIF","CD44",10.6722898867948
"Plasmablasts","B-cells","HLA-DMB","CD74",8.2366088984013
"Plasmablasts","B-cells","LGALS1","PTPRC",7.7250456604594
"Plasmablasts","B-cells","HLA-C","LILRB1",6.09910635157068
"Plasmablasts","B-cells","HLA-A","APLP2",5.1062815979766
"Plasmablasts","B-cells","HLA-B","LILRB1",4.88439776376207
"Plasmablasts","B-cells","HLA-DRB1","CD53",4.19661227847609
"Plasmablasts","B-cells","HLA-DRA","CD53",3.96384432952455
"Plasmablasts","CAFs","B2M","TAP1",49.7324138587305
"Plasmablasts","CAFs","HSP90B1","LRP1",45.4453476155691
"Plasmablasts","CAFs","HLA-DRA","CD63",19.370319837534
"Plasmablasts","CAFs","MIF","CD74",15.1327885549603
"Plasmablasts","CAFs","IFITM1","CD81",12.6191380035284
"Plasmablasts","CAFs","PSAP","LRP1",12.2708165277276
"Plasmablasts","CAFs","B2M","TAP2",12.0692632102733
"Plasmablasts","CAFs","CALR","LRP1",11.6080376437291
"Plasmablasts","CAFs","TIMP1","CD63",11.4197537368923
"Plasmablasts","CAFs","HLA-A","APLP2",10.5096698902606
"Plasmablasts","CAFs","LGALS1","ITGB1",10.0346595293203
"Plasmablasts","CAFs","CD99","CD99",8.87919435777539
"Plasmablasts","CAFs","MIF","CD44",6.34887526305009
"Plasmablasts","CAFs","LGALS3","ANXA2",6.30003537525958
"Plasmablasts","CAFs","TIMP1","MMP2",5.85420734519994
"Plasmablasts","CAFs","HMGB1","SDC1",4.1416933274235
"Plasmablasts","CAFs","APOE","LRP1",3.56415373045334
"Plasmablasts","CAFs","HLA-DRB1","CD81",3.43559316158962
"Plasmablasts","CAFs","HLA-DRA","CD81",3.24503565458409
"Plasmablasts","CAFs","LRPAP1","LRP1",2.79970163231139
"Plasmablasts","Cancer Epithelial","B2M","TAP1",48.7599801393623
"Plasmablasts","Cancer Epithelial","MIF","CD74",16.1304381506308
"Plasmablasts","Cancer Epithelial","HLA-A","APLP2",15.5869227866323
"Plasmablasts","Cancer Epithelial","HLA-A","ERBB2",11.6685612561389
"Plasmablasts","Cancer Epithelial","MIF","CD44",7.67626083971848
"Plasmablasts","Cancer Epithelial","B2M","TAP2",7.08077574762543
"Plasmablasts","Cancer Epithelial","HLA-DRA","CD9",7.05756751393504
"Plasmablasts","Cancer Epithelial","LGALS3","ANXA2",5.39562421560152
"Plasmablasts","Cancer Epithelial","HLA-DRA","CD63",5.0785739463661
"Plasmablasts","Cancer Epithelial","TIMP1","CD63",2.99406846601051
"Plasmablasts","Cancer Epithelial","LGALS1","ITGB1",2.82105035363294
"Plasmablasts","Cancer Epithelial","CD44","EPCAM",2.67357324007057
"Plasmablasts","Cancer Epithelial","HMGB1","SDC1",2.65042831574652
"Plasmablasts","Cancer Epithelial","CD44","CLDN7",2.23804638161013
"Plasmablasts","Cancer Epithelial","HLA-DMA","CD74",2.01208033867301
"Plasmablasts","Cancer Epithelial","IFITM1","CD81",1.84380212378971
"Plasmablasts","Cancer Epithelial","APOE","APP",1.83923874314617
"Plasmablasts","Cancer Epithelial","CD99","CD99",1.77484352555022
"Plasmablasts","Cancer Epithelial","CALR","TAP1",1.75181392003755
"Plasmablasts","Cancer Epithelial","IL16","CD9",1.71135251267924
"Plasmablasts","Endothelial","MIF","CD74",323.921080841687
"Plasmablasts","Endothelial","B2M","TAP1",99.9597602154142
"Plasmablasts","Endothelial","HLA-DMA","CD74",40.4053028167608
"Plasmablasts","Endothelial","B2M","TAP2",31.83453789858
"Plasmablasts","Endothelial","HLA-A","APLP2",20.8901150375444
"Plasmablasts","Endothelial","COPA","CD74",18.9445872035556
"Plasmablasts","Endothelial","CD38","PECAM1",16.3203070422507
"Plasmablasts","Endothelial","CCL5","ACKR1",13.3463263509607
"Plasmablasts","Endothelial","IFITM1","CD81",12.211062970141
"Plasmablasts","Endothelial","PECAM1","PECAM1",9.01102185065996
"Plasmablasts","Endothelial","HLA-DRA","CD63",8.0628754868724
"Plasmablasts","Endothelial","APP","CD74",7.87586672845387
"Plasmablasts","Endothelial","CXCL10","ACKR1",7.77184103645789
"Plasmablasts","Endothelial","HMGB1","THBD",7.49066639745159
"Plasmablasts","Endothelial","LGALS1","ITGB1",7.35837186928022
"Plasmablasts","Endothelial","LGALS3","ENG",6.58135499954984
"Plasmablasts","Endothelial","LGALS3","ANXA2",6.1421655038689
"Plasmablasts","Endothelial","CXCL13","ACKR1",5.5637684768011
"Plasmablasts","Endothelial","HLA-DRA","CD9",4.75714001488677
"Plasmablasts","Endothelial","TIMP1","CD63",4.7534606162203
"Plasmablasts","Myeloid","MIF","CD74",828.764520560983
"Plasmablasts","Myeloid","HLA-DMA","CD74",103.378518403439
"Plasmablasts","Myeloid","B2M","TAP1",99.238512254611
"Plasmablasts","Myeloid","B2M","LILRB1",71.3133178439392
"Plasmablasts","Myeloid","RPS19","C5AR1",49.3091496192149
"Plasmablasts","Myeloid","COPA","CD74",48.4704536369894
"Plasmablasts","Myeloid","HLA-A","APLP2",24.5963022055347
"Plasmablasts","Myeloid","HLA-C","LILRB2",23.230215082528
"Plasmablasts","Myeloid","B2M","TAP2",20.9005392823084
"Plasmablasts","Myeloid","APP","CD74",20.1507073767742
"Plasmablasts","Myeloid","HLA-B","LILRB2",18.6036451998564
"Plasmablasts","Myeloid","MIF","CXCR4",17.8061183134815
"Plasmablasts","Myeloid","HLA-C","LILRB1",16.3503345584482
"Plasmablasts","Myeloid","MIF","CD44",15.1779808720906
"Plasmablasts","Myeloid","HLA-B","LILRB1",13.0939736004898
"Plasmablasts","Myeloid","HSP90B1","LRP1",12.6704466102428
"Plasmablasts","Myeloid","HMGB1","CXCR4",12.2246342908514
"Plasmablasts","Myeloid","IFITM1","CD81",11.41734723439
"Plasmablasts","Myeloid","HLA-A","LILRB2",11.0949014275419
"Plasmablasts","Myeloid","HLA-DRA","CD63",10.5925214963889
"Plasmablasts","Normal Epithelial","MIF","CD74",46.1086876718632
"Plasmablasts","Normal Epithelial","B2M","TAP1",39.9763516063573
"Plasmablasts","Normal Epithelial","HLA-A","APLP2",15.6113144087284
"Plasmablasts","Normal Epithelial","CALM1","MYLK",9.71976547408197
"Plasmablasts","Normal Epithelial","HLA-DRA","CD9",6.80287840954146
"Plasmablasts","Normal Epithelial","HLA-DMA","CD74",5.75151046984687
"Plasmablasts","Normal Epithelial","HLA-DRA","CD63",5.51519751959848
"Plasmablasts","Normal Epithelial","MIF","CD44",5.04579516955386
"Plasmablasts","Normal Epithelial","CALM2","MYLK",5.02528411791009
"Plasmablasts","Normal Epithelial","LGALS3","ANXA2",4.80443606864349
"Plasmablasts","Normal Epithelial","B2M","TAP2",4.61082144396241
"Plasmablasts","Normal Epithelial","HLA-A","ERBB2",3.87869804583428
"Plasmablasts","Normal Epithelial","LGALS1","ITGB1",3.54235354118811
"Plasmablasts","Normal Epithelial","APOE","APP",3.53602054001623
"Plasmablasts","Normal Epithelial","TIMP1","CD63",3.25147948058623
"Plasmablasts","Normal Epithelial","CTSD","APP",2.93142866094467
"Plasmablasts","Normal Epithelial","CALM3","MYLK",2.80187045399509
"Plasmablasts","Normal Epithelial","COPA","CD74",2.69667553643426
"Plasmablasts","Normal Epithelial","IFITM1","CD81",2.51502902940446
"Plasmablasts","Normal Epithelial","CD44","CLDN7",2.19706224146082
"Plasmablasts","PVL","B2M","TAP1",48.0185722441512
"Plasmablasts","PVL","B2M","TAP2",15.73203464581
"Plasmablasts","PVL","HLA-DRA","CD63",12.6606757036693
"Plasmablasts","PVL","LGALS1","ITGB1",12.4692671286191
"Plasmablasts","PVL","IFITM1","CD81",12.4310479924981
"Plasmablasts","PVL","HLA-A","APLP2",12.212611671888
"Plasmablasts","PVL","MIF","CD74",10.0014272030706
"Plasmablasts","PVL","CALM1","MYLK",9.53353786947075
"Plasmablasts","PVL","MIF","CD44",7.95184162023638
"Plasmablasts","PVL","TIMP1","CD63",7.46408938475048
"Plasmablasts","PVL","CALM2","MYLK",4.92900127793162
"Plasmablasts","PVL","HSP90B1","LRP1",4.19986049656836
"Plasmablasts","PVL","LGALS3","MCAM",3.55000448536353
"Plasmablasts","PVL","HLA-DRB1","CD81",3.38438516659994
"Plasmablasts","PVL","CD99","CD99",3.27192764459973
"Plasmablasts","PVL","HLA-DRA","CD81",3.19666794579974
"Plasmablasts","PVL","HLA-DRA","CD9",3.02276918385547
"Plasmablasts","PVL","CALM3","MYLK",2.74818751025845
"Plasmablasts","PVL","LGALS3","ANXA2",2.60941498019642
"Plasmablasts","PVL","MDK","ITGB1",2.56633542711281
"Plasmablasts","T-cells","B2M","KLRD1",145.769160428202
"Plasmablasts","T-cells","B2M","TAP1",132.088296298461
"Plasmablasts","T-cells","MIF","CXCR4",91.9101658925974
"Plasmablasts","T-cells","B2M","KLRC1",73.5628857888856
"Plasmablasts","T-cells","MIF","CD74",67.004826077852
"Plasmablasts","T-cells","HMGB1","CXCR4",63.1001179407981
"Plasmablasts","T-cells","HLA-B","CD8A",48.5135510818144
"Plasmablasts","T-cells","HLA-A","CD8A",28.9326667634419
"Plasmablasts","T-cells","LGALS1","CD69",27.8633495631355
"Plasmablasts","T-cells","HLA-B","KLRD1",26.7649521312329
"Plasmablasts","T-cells","MIF","CD44",19.2645641251802
"Plasmablasts","T-cells","LGALS1","PTPRC",16.7897020633528
"Plasmablasts","T-cells","HLA-A","KLRD1",15.9621677589938
"Plasmablasts","T-cells","HLA-E","CD8A",11.4350424659181
"Plasmablasts","T-cells","B2M","TAP2",11.10256291067
"Plasmablasts","T-cells","HLA-DMA","CD74",8.35805524242242
"Plasmablasts","T-cells","CD59","CD2",6.55357364158633
"Plasmablasts","T-cells","HLA-E","KLRD1",6.30871905671819
"Plasmablasts","T-cells","HLA-DRB1","CD37",5.07841232655952
"Plasmablasts","T-cells","HLA-DRA","CD37",4.79673473931938
"PVL","B-cells","MIF","CD74",703.825508715153
"PVL","B-cells","APP","CD74",343.764341710425
"PVL","B-cells","LGALS1","CD69",289.923740265858
"PVL","B-cells","HMGB1","CXCR4",167.30037791215
"PVL","B-cells","B2M","TAP1",161.872713712095
"PVL","B-cells","MIF","CXCR4",82.4419731405816
"PVL","B-cells","LGALS1","PTPRC",77.2868275604438
"PVL","B-cells","COPA","CD74",67.6154545473508
"PVL","B-cells","B2M","LILRB1",41.8336030306665
"PVL","B-cells","CCL19","CCR7",34.5865128185121
"PVL","B-cells","CXCL12","CXCR4",33.4629133459705
"PVL","B-cells","LAMB2","RPSA",31.989636985188
"PVL","B-cells","TIMP3","CD44",27.4090293704612
"PVL","B-cells","HLA-DMA","CD74",25.1052871626185
"PVL","B-cells","COL1A2","CD44",22.009612640732
"PVL","B-cells","B2M","TAP2",21.4402848763054
"PVL","B-cells","TIMP1","CD63",19.9607713201049
"PVL","B-cells","COL1A1","CD44",18.7124276176152
"PVL","B-cells","LGALS1","ITGB1",16.8779677058951
"PVL","B-cells","FN1","CD44",14.4242421725223
"PVL","CAFs","TIMP1","CD63",424.177386107831
"PVL","CAFs","TIMP1","MMP2",217.449730233494
"PVL","CAFs","LGALS1","ITGB1",100.393840341938
"PVL","CAFs","TIMP3","MMP2",99.5096924970852
"PVL","CAFs","B2M","TAP1",78.2086167717795
"PVL","CAFs","SERPING1","C1R",71.8672771998227
"PVL","CAFs","A2M","MMP2",69.7133675134098
"PVL","CAFs","COL18A1","ITGB1",48.0051669644973
"PVL","CAFs","COL1A2","ITGB1",43.0328814841862
"PVL","CAFs","CD99","CD99",42.6574346717023
"PVL","CAFs","IFITM1","CD81",38.8615528334804
"PVL","CAFs","TIMP3","MMP14",36.8972918332409
"PVL","CAFs","SERPING1","LRP1",36.7245480686187
"PVL","CAFs","COL1A1","ITGB1",36.5862722390677
"PVL","CAFs","APOE","LRP1",35.7007960918443
"PVL","CAFs","COL3A1","ITGB1",33.5214577551759
"PVL","CAFs","COL6A2","ITGB1",32.5558898926363
"PVL","CAFs","A2M","LRP1",31.5144583215557
"PVL","CAFs","COL4A2","ITGB1",29.0295132975091
"PVL","CAFs","LGALS3","ANXA2",28.2073471589799
"PVL","Cancer Epithelial","TIMP1","CD63",111.212217443651
"PVL","Cancer Epithelial","B2M","TAP1",76.6793787920979
"PVL","Cancer Epithelial","HLA-A","APLP2",32.3374783206065
"PVL","Cancer Epithelial","LGALS1","ITGB1",28.2237855675784
"PVL","Cancer Epithelial","S100A4","ERBB2",28.2174668086228
"PVL","Cancer Epithelial","HLA-A","ERBB2",24.2082322353371
"PVL","Cancer Epithelial","LGALS3","ANXA2",24.1579985386352
"PVL","Cancer Epithelial","TIMP3","CD44",19.7144999848157
"PVL","Cancer Epithelial","APOE","APP",18.422967217222
"PVL","Cancer Epithelial","MIF","CD74",17.0713233466189
"PVL","Cancer Epithelial","COL1A2","CD44",15.8308600500511
"PVL","Cancer Epithelial","S100A4","ERBB3",15.3848269625612
"PVL","Cancer Epithelial","LAMB2","RPSA",14.3843611415751
"PVL","Cancer Epithelial","COL18A1","ITGB1",13.4957237807327
"PVL","Cancer Epithelial","COL1A1","CD44",13.4592928847349
"PVL","Cancer Epithelial","COL1A2","ITGB1",12.0978619328434
"PVL","Cancer Epithelial","B2M","TAP2",11.1351457515415
"PVL","Cancer Epithelial","FN1","CD44",10.3749285772824
"PVL","Cancer Epithelial","COL1A1","ITGB1",10.2855224869921
"PVL","Cancer Epithelial","COL3A1","ITGB1",9.42390919973111
"PVL","Endothelial","CCL2","ACKR1",360.888881986259
"PVL","Endothelial","MIF","CD74",342.815331995087
"PVL","Endothelial","SPARC","ENG",187.052799670631
"PVL","Endothelial","TIMP1","CD63",176.563395814834
"PVL","Endothelial","APP","CD74",167.438783437482
